"filename", "language", "C++", "comment", "blank", "total"
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/audio/AudioPlayer.h", "C++", 165, 3, 29, 197
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/db/ArtExtractor.h", "C++", 133, 11, 22, 166
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/db/MediaDB.h", "C++", 158, 12, 19, 189
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/db/MediaScanner.h", "C++", 137, 15, 24, 176
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/db/MetaReader.h", "C++", 249, 26, 33, 308
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/db/SettingsManager.h", "C++", 122, 3, 17, 142
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/input/SerialInput.h", "C++", 22, 1, 3, 26
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/led/LEDManager.cpp", "C++", 98, 11, 23, 132
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/led/LEDManager.h", "C++", 34, 1, 10, 45
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/main.cpp", "C++", 796, 150, 144, 1090
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/sensors/MPU6050Manager.h", "C++", 90, 7, 17, 114
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/ui/ArtRenderer.h", "C++", 226, 26, 43, 295
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/ui/CoverFlowScene.h", "C++", 161, 1, 31, 193
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/ui/FileExplorerScene.h", "C++", 163, 6, 23, 192
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/ui/MainMenuScene.h", "C++", 122, 2, 24, 148
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/ui/MenuScene.h", "C++", 195, 1, 33, 229
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/ui/NowPlaying.h", "C++", 161, 5, 31, 197
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/ui/SensorsScene.h", "C++", 414, 30, 43, 487
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/ui/SettingsScene.h", "C++", 513, 4, 29, 546
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/ui/StatusWidget.h", "C++", 108, 5, 17, 130
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/ui/UsbMenuScene.h", "C++", 91, 0, 12, 103
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/ui/WiFiScene.h", "C++", 304, 12, 40, 356
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/web/UsbMscManager.h", "C++", 186, 7, 39, 232
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/web/WebManager.h", "C++", 409, 12, 56, 477
"/home/bodya/Documents/PlatformIO/Projects/Nebula Os/src/wifi/WiFiScanner.h", "C++", 104, 4, 25, 133
"Total", "-", 5161, 355, 787, 6303